County,Walkability
Alcona,3.5694166666666667
Alger,5.624875
Allegan,5.3837631578947365
Alpena,6.073558823529412
Antrim,5.181260869565217
Arenac,4.193052631578947
Baraga,5.229125
Barry,4.871227272727273
Bay,7.387096774193548
Benzie,5.1070714285714285
Berrien,6.297472222222222
Branch,5.039642857142857
Calhoun,6.21651282051282
Cass,4.4275
Charlevoix,5.968
Cheboygan,4.205076923076923
Chippewa,5.468486486486486
Clare,4.574111111111111
Clinton,5.496851851851852
Crawford,4.512846153846154
Delta,5.95
Dickinson,7.017578947368421
Eaton,5.8083375
Emmet,6.493814814814815
Genesee,6.473640750670241
Gladwin,4.132083333333333
Gogebic,5.7
Grand Traverse,6.292385964912281
Gratiot,5.603648648648648
Hillsdale,4.861756097560976
Houghton,6.277777777777778
Huron,5.705128205128205
Ingham,7.663118143459916
Ionia,5.579673913043479
Iosco,5.339444444444444
Iron,6.3
Isabella,6.038744186046512
Jackson,5.998748091603053
Kalamazoo,6.947084656084656
Kalkaska,4.1770625
Kent,7.335473007712082
Keweenaw,2.375
Lake,3.5415833333333335
Lapeer,4.182296875
Leelanau,4.853
Lenawee,5.973609756097561
Livingston,5.606212389380531
Luce,5.166625
Mackinac,5.5952142857142855
Macomb,7.679956937799043
Manistee,6.023821428571429
Marquette,6.4590491803278685
Mason,6.0616666666666665
Mecosta,5.363636363636363
Menominee,6.134904761904762
Midland,5.774353846153846
Missaukee,5.140923076923077
Monroe,5.4878130081300815
Montcalm,5.124979166666667
Montmorency,4.348454545454546
Muskegon,6.841775362318841
Newaygo,4.883909090909091
Oakland,7.770879014989293
Oceana,4.949260869565218
Ogemaw,4.127
Ontonagon,4.555444444444444
Osceola,4.08004
Oscoda,5.121272727272728
Otsego,5.074055555555556
Ottawa,6.511838709677419
Presque Isle,5.0391176470588235
Roscommon,5.58004
Saginaw,6.6599017341040465
Sanilac,4.492095238095238
Schoolcraft,4.976285714285714
Shiawassee,5.467232142857143
St Clair,5.997565217391305
St Joseph,5.1100892857142854
Tuscola,4.41002
Van Buren,4.925343283582089
Washtenaw,10.433585657370518
Wayne,10.640695938529088
Wexford,6.680583333333334
